"Country","Day","Date","Confirmed","Deaths","Recovered","Active.Cases","Closed.Cases"
"United States","1","22-01-2020",1,0,0,1,0
"United States","2","23-01-2020",1,0,0,1,0
"United States","3","24-01-2020",2,0,0,2,0
"United States","4","25-01-2020",2,0,0,2,0
"United States","5","26-01-2020",5,0,0,5,0
"United States","6","27-01-2020",5,0,0,5,0
"United States","7","28-01-2020",5,0,0,5,0
"United States","8","29-01-2020",5,0,0,5,0
"United States","9","30-01-2020",5,0,0,5,0
"United States","10","31-01-2020",7,0,0,7,0
"United States","11","01-02-2020",8,0,0,8,0
"United States","12","02-02-2020",8,0,0,8,0
"United States","13","03-02-2020",11,0,0,11,0
"United States","14","04-02-2020",11,0,0,11,0
"United States","15","05-02-2020",11,0,0,11,0
"United States","16","06-02-2020",11,0,0,11,0
"United States","17","07-02-2020",11,0,0,11,0
"United States","18","08-02-2020",11,0,0,11,0
"United States","19","09-02-2020",11,0,3,8,3
"United States","20","10-02-2020",11,0,3,8,3
"United States","21","11-02-2020",12,0,3,9,3
"United States","22","12-02-2020",12,0,3,9,3
"United States","23","13-02-2020",13,0,3,10,3
"United States","24","14-02-2020",13,0,3,10,3
"United States","25","15-02-2020",13,0,3,10,3
"United States","26","16-02-2020",13,0,3,10,3
"United States","27","17-02-2020",13,0,3,10,3
"United States","28","18-02-2020",13,0,3,10,3
"United States","29","19-02-2020",13,0,3,10,3
"United States","30","20-02-2020",13,0,3,10,3
"United States","31","21-02-2020",15,0,5,10,5
"United States","32","22-02-2020",15,0,5,10,5
"United States","33","23-02-2020",15,0,5,10,5
"United States","34","24-02-2020",51,0,5,46,5
"United States","35","25-02-2020",51,0,6,45,6
"United States","36","26-02-2020",57,0,6,51,6
"United States","37","27-02-2020",58,0,6,52,6
"United States","38","28-02-2020",60,0,7,53,7
"United States","39","29-02-2020",68,1,7,60,8
"United States","40","01-03-2020",74,1,7,66,8
"United States","41","02-03-2020",98,6,7,85,13
"United States","42","03-03-2020",118,7,7,104,14
"United States","43","04-03-2020",149,11,7,131,18
"United States","44","05-03-2020",217,12,7,198,19
"United States","45","06-03-2020",262,14,7,241,21
"United States","46","07-03-2020",402,17,7,378,24
"United States","47","08-03-2020",518,21,7,490,28
"United States","48","09-03-2020",583,22,7,554,29
"United States","49","10-03-2020",1476,50,15,1411,65
"United States","50","11-03-2020",1798,58,15,1725,73
"United States","51","12-03-2020",2180,62,19,2099,81
"United States","52","13-03-2020",2696,69,19,2608,88
"United States","53","14-03-2020",3244,76,19,3149,95
"United States","54","15-03-2020",4016,85,19,3912,104
"United States","55","16-03-2020",5150,107,24,5019,131
"United States","56","17-03-2020",6938,130,24,6784,154
"United States","57","18-03-2020",8363,140,24,8199,164
"United States","58","19-03-2020",14194,222,24,13948,246
"United States","59","20-03-2020",19619,266,24,19329,290
"United States","60","21-03-2020",26006,329,24,25653,353
"United States","61","22-03-2020",33789,440,24,33325,464
"United States","62","23-03-2020",33796,440,202,33154,642
