"State","Day","Date","Confirmed","Deaths","Active.Cases","Closed.Cases"
"Hubei","1","22-01-2020",444,17,427,17
"Hubei","2","23-01-2020",444,17,427,17
"Hubei","3","24-01-2020",549,24,525,24
"Hubei","4","25-01-2020",761,40,721,40
"Hubei","5","26-01-2020",1058,52,1006,52
"Hubei","6","27-01-2020",1423,76,1347,76
"Hubei","7","28-01-2020",3554,125,3429,125
"Hubei","8","29-01-2020",3554,125,3429,125
"Hubei","9","30-01-2020",4903,162,4741,162
"Hubei","10","31-01-2020",5806,204,5602,204
"Hubei","11","01-02-2020",7153,249,6904,249
"Hubei","12","02-02-2020",11177,350,10827,350
"Hubei","13","03-02-2020",13522,414,13108,414
"Hubei","14","04-02-2020",16678,479,16199,479
"Hubei","15","05-02-2020",19665,549,19116,549
"Hubei","16","06-02-2020",22112,618,21494,618
"Hubei","17","07-02-2020",24953,699,24254,699
"Hubei","18","08-02-2020",27100,780,26320,780
"Hubei","19","09-02-2020",29631,871,28760,871
"Hubei","20","10-02-2020",31728,974,30754,974
"Hubei","21","11-02-2020",33366,1068,32298,1068
"Hubei","22","12-02-2020",33366,1068,32298,1068
"Hubei","23","13-02-2020",48206,1310,46896,1310
"Hubei","24","14-02-2020",54406,1457,52949,1457
"Hubei","25","15-02-2020",56249,1596,54653,1596
"Hubei","26","16-02-2020",58182,1696,56486,1696
"Hubei","27","17-02-2020",59989,1789,58200,1789
"Hubei","28","18-02-2020",61682,1921,59761,1921
"Hubei","29","19-02-2020",62031,2029,60002,2029
"Hubei","30","20-02-2020",62442,2144,60298,2144
"Hubei","31","21-02-2020",62662,2144,60518,2144
"Hubei","32","22-02-2020",64084,2346,61738,2346
"Hubei","33","23-02-2020",64084,2346,61738,2346
"Hubei","34","24-02-2020",64287,2495,61792,2495
"Hubei","35","25-02-2020",64786,2563,62223,2563
"Hubei","36","26-02-2020",65187,2615,62572,2615
"Hubei","37","27-02-2020",65596,2641,62955,2641
"Hubei","38","28-02-2020",65914,2682,63232,2682
"Hubei","39","29-02-2020",66337,2727,63610,2727
"Hubei","40","01-03-2020",66907,2761,64146,2761
"Hubei","41","02-03-2020",67103,2803,64300,2803
"Hubei","42","03-03-2020",67217,2835,64382,2835
"Hubei","43","04-03-2020",67332,2871,64461,2871
"Hubei","44","05-03-2020",67466,2902,64564,2902
"Hubei","45","06-03-2020",67592,2931,64661,2931
"Hubei","46","07-03-2020",67666,2959,64707,2959
"Hubei","47","08-03-2020",67707,2986,64721,2986
"Hubei","48","09-03-2020",67743,3008,64735,3008
"Hubei","49","10-03-2020",67760,3024,64736,3024
"Hubei","50","11-03-2020",67773,3046,64727,3046
"Hubei","51","12-03-2020",67781,3056,64725,3056
"Hubei","52","13-03-2020",67786,3062,64724,3062
"Hubei","53","14-03-2020",67790,3075,64715,3075
"Hubei","54","15-03-2020",67794,3085,64709,3085
"Hubei","55","16-03-2020",67798,3099,64699,3099
"Hubei","56","17-03-2020",67799,3111,64688,3111
"Hubei","57","18-03-2020",67800,3122,64678,3122
"Hubei","58","19-03-2020",67800,3130,64670,3130
"Hubei","59","20-03-2020",67800,3133,64667,3133
"Hubei","60","21-03-2020",67800,3139,64661,3139
"Hubei","61","22-03-2020",67800,3153,64647,3153
"Hubei","62","23-03-2020",67800,3153,64647,3153
"Hubei","63","24-03-2020",67801,3160,64641,3160
"Hubei","64","25-03-2020",67801,3163,64638,3163
"Hubei","65","26-03-2020",67801,3169,64632,3169
"Hubei","66","27-03-2020",67801,3174,64627,3174
"Hubei","67","28-03-2020",67801,3177,64624,3177
"Hubei","68","29-03-2020",67801,3182,64619,3182
"Hubei","69","30-03-2020",67801,3186,64615,3186
"Hubei","70","31-03-2020",67801,3187,64614,3187
"Hubei","71","01-04-2020",67802,3193,64609,3193
"Hubei","72","02-04-2020",67802,3199,64603,3199
"Hubei","73","03-04-2020",67802,3203,64599,3203
"Hubei","74","04-04-2020",67803,3207,64596,3207
"Hubei","75","05-04-2020",67803,3210,64593,3210
"Hubei","76","06-04-2020",67803,3212,64591,3212
"Hubei","77","07-04-2020",67803,3212,64591,3212
"Hubei","78","08-04-2020",67803,3213,64590,3213
"Hubei","79","09-04-2020",67803,3215,64588,3215
"Hubei","80","10-04-2020",67803,3216,64587,3216
"Hubei","81","11-04-2020",67803,3219,64584,3219
"Hubei","82","12-04-2020",67803,3219,64584,3219
"Hubei","83","13-04-2020",67803,3221,64582,3221
"Hubei","84","14-04-2020",67803,3221,64582,3221
"Hubei","85","15-04-2020",67803,3222,64581,3222
"Hubei","86","16-04-2020",67803,3222,64581,3222
"Hubei","87","17-04-2020",68128,4512,63616,4512
"Hubei","88","18-04-2020",68128,4512,63616,4512
"Hubei","89","19-04-2020",68128,4512,63616,4512
"Hubei","90","20-04-2020",68128,4512,63616,4512
"Hubei","91","21-04-2020",68128,4512,63616,4512
"Hubei","92","22-04-2020",68128,4512,63616,4512
"Hubei","93","23-04-2020",68128,4512,63616,4512
"Hubei","94","24-04-2020",68128,4512,63616,4512
"Hubei","95","25-04-2020",68128,4512,63616,4512
"Hubei","96","26-04-2020",68128,4512,63616,4512
"Hubei","97","27-04-2020",68128,4512,63616,4512
"Hubei","98","28-04-2020",68128,4512,63616,4512
"Hubei","99","29-04-2020",68128,4512,63616,4512
"Hubei","100","30-04-2020",68128,4512,63616,4512
"Hubei","101","01-05-2020",68128,4512,63616,4512
